day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,mean_accuracy
91,-0.791948523,-1.62112476,1.338766007,-0.280875671,-0.482099107,-0.055027121,-1.284866228,,-1.059216013,-1.107961865,-1.194029851,-1.627243751,-1.924693226,-4.336513443,0.392817059,0.303296352,0.108957896,0.011193398
92,-0.800197987,-1.679618952,1.280558789,-0.190004131,-0.521615427,-0.031444069,-1.227941774,,-0.875729775,-0.970540239,-1.144278607,-1.501425935,-1.899478904,-4.218244895,0.248516915,0.21550004,0.038913534,0.010527506
93,-0.775449596,-1.554274254,1.372027274,-0.148698885,-0.529518691,-0.102193224,-1.252337969,,-0.867389491,-0.944773684,-1.135986733,-1.400771683,-1.664145234,-4.115745486,0.296616963,0.151648176,-0.070044361,0.010238514
94,-0.626959248,-1.495780062,1.405288541,-0.024783147,-0.529518691,-0.023583052,-1.122224933,,-0.750625521,-0.987717942,-1.036484245,-1.409159537,-1.554883174,-3.910746669,0.328683662,0.047888898,-0.054478948,0.009568004
95,-0.54446461,-1.345366424,1.363711957,-0.049566295,-0.576938276,-0.055027121,-1.097828739,,-0.783986656,-0.92759598,-0.912106136,-1.233014595,-1.437216339,-3.855554679,0.505050505,0,-0.124523309,0.00925747
96,-0.486718363,-1.311941172,1.388657908,0.041305246,-0.513712163,-0.047166103,-1.000243962,,-0.70058382,-0.92759598,-0.92039801,-1.216238886,-1.3531686,-3.729401561,0.464967132,0.039907415,-0.108957896,0.008906853
97,-0.511466755,-1.169883847,1.322135373,0.19826518,-0.387259938,-0.094332207,-0.967715703,,-0.558798999,-0.953362535,-0.986733002,-1.115584633,-1.227096991,-3.689978712,0.472983806,0.095777796,-0.124523309,0.008672437
98,-0.536215146,-0.977688644,1.338766007,0.19826518,-0.403066466,-0.157220344,-0.935187444,,-0.658882402,-0.944773684,-0.936981758,-1.048481798,-1.143049252,-3.619017583,0.432900433,0.223481523,-0.070044361,0.008515014
99,-0.569213001,-0.986044957,1.33045069,0.190004131,-0.245001185,-0.157220344,-0.861998862,,-0.717264387,-0.833118612,-0.83747927,-0.847173293,-1.075811061,-3.81613183,0.472983806,0.311277835,-0.210133084,0.008413316
100,-0.577462465,-0.910838138,1.313820057,0.28913672,-0.41096973,-0.243691534,-0.935187444,,-0.58381985,-0.730052392,-0.696517413,-0.863949002,-1.185073122,-3.8240164,0.384800385,0.311277835,-0.14787143,0.008380302
101,-0.461969972,-0.676861369,1.322135373,0.305658819,-0.363550146,-0.298718654,-0.943319509,,-0.533778148,-0.704285837,-0.572139303,-0.671028351,-1.067406287,-3.80824726,0.344717011,0.319259318,-0.202350377,0.007872141
102,-0.338228015,-0.60165455,1.33045069,0.338703015,-0.426776259,-0.353745775,-0.89452712,,-0.633861551,-0.652752727,-0.464344942,-0.603925516,-0.874096487,-3.705747851,0.144300144,0.343203767,-0.249046618,0.007472103
103,-0.272232305,-0.643436116,1.380342591,0.380008261,-0.37145341,-0.251552551,-0.975847768,,-0.592160133,-0.592630765,-0.290215589,-0.603925516,-0.798453522,-3.737286131,0.192400192,0.407055631,-0.233481205,0.007326551
104,-0.222735522,-0.584941924,1.313820057,0.355225114,-0.221291393,-0.227969499,-0.853866797,,-0.558798999,-0.532508804,-0.099502488,-0.520046972,-0.706001009,-3.548056454,0.216450216,0.391092665,-0.264612032,0.006635575
105,-0.230984986,-0.62672349,1.280558789,0.29739777,-0.158065281,-0.19652543,-0.75628202,,-0.575479566,-0.541097655,0.066334992,-0.402617011,-0.546310304,-3.382480486,0.248516915,0.35118525,-0.241263912,0.00618864
106,-0.214486058,-0.518091418,1.172459671,0.322180917,-0.055322848,-0.023583052,-0.674961373,,-0.567139283,-0.420853732,-0.265339967,-0.234859923,-0.361405278,-3.169597098,0.160333494,0.263388938,-0.077827068,0.005313644
107,-0.30523016,-0.559872984,0.748378513,0.239570425,-0.047419584,0.015722034,-0.520452143,,-0.408673895,-0.36073177,-0.157545605,-0.234859923,-0.252143217,-3.04344398,0.160333494,0.311277835,-0.101175189,0.004666769
108,-0.206236595,-0.376034094,0.349243306,0.396530359,-0.071129376,0.039305086,-0.398471172,,-0.166805671,-0.231898995,-0.149253731,-0.167757088,-0.100857287,-2.806906883,0.096200096,0.143666693,-0.124523309,0.003640512
109,-0.140240884,-0.242333083,0,0.206526229,-0.063226112,-0.023583052,-0.203301618,,0,-0.274843253,-0.08291874,-0.025163563,0.134476383,-2.664984625,0.096200096,0.151648176,-0.124523309,0.002771231
110,0,0,,0,0,0,0,,,0,0,0,0,-2.554600647,0,0,0,0.001824715
111,,,,,,,,,,,,,,-1.868643066,,,,0.018686431
112,,,,,,,,,,,,,,-1.324607743,,,,0.013246077
113,,,,,,,,,,,,,,-1.009224947,,,,0.010092249
114,,,,,,,,,,,,,,-0.512497043,,,,0.00512497
115,,,,,,,,,,,,,,0,,,,0
