day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean_accuracy
52,-0.8249463784853984,-3.726915684799866,0.681855978712789,-0.8508880627839734,0.06322611238441476,1.1241254618347614,-4.009107912498983,-5.956243240994925,2.6939115929941617,1.520226745684102,2.736318407960199,1.1659117597718502,0.45385779122541603,0.2838445162816368,1.5151515151515151,1.548407694149573,0.015565413650867773,-0.7884676648614207,0.016643873296792143
53,-0.585711928724633,-3.843904069524526,0.7733244636620655,-1.0821974390747624,0.007903264048051846,0.8568508765034195,-3.7651459705619255,-5.839780384327427,2.7105921601334444,1.545993300695697,2.736318407960199,0.8555611474584801,0.29416708690536225,0.2523062366947883,1.5792849126182458,1.4526298986351664,0.09339248190520663,-1.0035043007327173,0.01626587129453673
54,-0.585711928724633,-3.877329322303,0.7234325627806419,-0.9995869475423379,-0.03161305619220738,0.6681864633283547,-3.5862405464747495,-5.856417935279927,2.6188490408673895,1.5030490423430387,2.562189054726368,0.7884583123636975,0.3698100521095983,0.29961365607506113,1.6354016354016354,1.3887780349588954,0.3268736866682232,-0.7884676648614207,0.015894449412778434
55,-0.6104603200791948,-3.843904069524526,0.473973058373524,-0.8839322593969434,0.03951632024025923,0.6524644288970992,-3.5374481580873383,-5.798186506946178,2.6855713094245206,1.520226745684102,2.4792703150912105,0.46133199127663144,0.2017145738779627,0.22076795710793976,1.5151515151515151,1.4286854497565649,0.4358315822242976,-0.7008601465434852,0.015271831504268495
56,-0.5692130011549249,-4.061168212584608,0.7234325627806419,-0.950020652622883,0.11064569667272584,0.5659932395251945,-3.3910709929251035,-5.631810997421179,2.452043369474562,1.348449712273469,2.263681592039801,0.39422915618184873,0.12607160867372666,0.22865252700465188,1.5792849126182458,1.3568521031207599,0.5214413573040704,-0.2946798343421472,0.014760411960400302
57,-0.7672001319914206,-3.969248767443804,0.8980542158656245,-0.8839322593969434,0.05532284833636292,0.4716610329376621,-3.12271285679434,-5.64012977289743,2.293577981651376,1.425749377308254,2.330016583747927,0.36906559302130515,0.07564296520423601,-0.06307655917369707,1.6113516113516115,1.348870620161226,0.4825278231769009,-0.1991079961771265,0.01444847166479847
58,-0.7259528130671506,-3.902398261886855,1.0560452353234657,-0.9087154068566707,-0.023709792144155535,0.5659932395251945,-2.935675367975929,-5.706679976707429,2.3185988323603004,1.4171605256377222,2.097844112769486,0.14259352457641336,0.21852412170112623,0.07884569896712135,1.491101491101491,1.077500199537074,0.31909097984278934,-0.1752150366358713,0.013978691453675696
59,-0.5774624649397789,-3.710203058410629,1.097621819391319,-0.7187112763320942,-0.11854896072077767,0.5266881534470561,-3.0983166626006344,-5.64012977289743,2.293577981651376,1.3398608606029374,2.3051409618573797,0.23485992283173965,0.28576231299378047,-0.06307655917369707,1.4029180695847363,1.141352063213345,0.3502218071445249,-0.14335775724753105,0.013915450258355982
60,-0.6187097838640488,-3.618283613269825,0.8897388990520538,-1.0078479966955802,-0.3003240338259701,0.3380237402719912,-2.960071562169635,-5.307378753847434,2.402001668056714,1.4686936356609122,2.1807628524046434,0.025163563160543533,0.10085728693898136,-0.023653709690136405,1.074234407567741,1.0934631654561418,0.2801774457156199,-0.07964319847085059,0.013205016286732681
61,-0.6929549579277346,-3.53472048132364,0.8481623149842009,-0.9582817017761256,-0.29242076977791825,0.2987186541938527,-2.8787509148572825,-5.307378753847434,2.185154295246038,1.3312720089324057,2.197346600331675,0.2851870491528267,0.19330979996638092,-0.14980682803753056,1.1463844797178129,1.0216298188203368,0.4513969958751654,-0.2946798343421472,0.013370864588394728
62,-0.7919485233459824,-3.6266399264644438,0.8814235822384833,-0.859149111937216,-0.37935667430648856,0.3851898435657574,-2.748637879157518,-5.373928957657433,2.185154295246038,1.348449712273469,2.164179104477612,0.31035061231337024,0.21011934778954444,-0.17346053772766695,1.2425845759179093,0.8620001596296593,0.4669624095260332,-0.18317935648295636,0.013440397005587548
63,-0.8496947698399603,-3.710203058410629,0.8564776317977715,-0.9417596034696406,-0.49790563502726626,0.4166339124282682,-2.6998454907701066,-5.132684468846186,1.909924937447873,1.442927080649317,2.296849087893864,0.26002348599228314,0.15128593040847202,-0.26807537648821256,1.3227513227513228,0.8859446085082607,0.5058759436532027,-0.1911436763300414,0.0135222255670626
64,-0.9569377990430622,-3.618283613269825,1.0809911857641776,-0.7187112763320942,-0.5453252193155773,0.5895762911720777,-2.5697324550703424,-5.265784876466184,1.8932443703085906,1.3656274156145323,2.263681592039801,0.3019627579265224,0.05883341738107245,-0.30749822597177323,1.1063011063011063,0.6385186367627105,0.4825278231769009,-0.270786874800892,0.01335240274262069
65,-0.9156904801187922,-3.509651541739785,1.1225677698320307,-0.4708798017348203,-0.7191970283727179,0.6210203600345885,-2.561600390339107,-5.024540387654937,1.8932443703085906,1.3140943055913423,2.023217247097844,0.14259352457641336,0.02521432173474534,-0.26807537648821256,1.0582010582010581,0.742277915236651,0.44361428904973155,-0.14335775724753105,0.012777243291866053
66,-0.8991915525490843,-3.334168964652795,1.238982205222019,-0.644361833952912,-0.6322611238441477,0.5188271362314283,-2.6185248434577537,-5.165959570751186,1.9683069224353626,1.4858713390019755,1.9651741293532337,0.23485992283173965,0.05883341738107245,-0.2523062366947883,0.9700176366843033,0.3671482161385585,0.5525721846058058,-0.14335775724753105,0.012805958329464276
67,-0.7754495957762745,-3.242249519511992,1.0809911857641776,-0.6856670797191243,-0.561131747411681,0.4166339124282682,-2.561600390339107,-5.099409366941186,1.7764804003336114,1.374216267285064,1.8490878938640134,0.04193927193423922,0.00840477391158178,-0.26019080659150046,1.0261343594676928,0.3112778354218214,0.5837030119075415,-0.23892959541255177,0.012163053896678573
68,-0.6269592476489028,-3.242249519511992,1.031099284882754,-0.8343659644774886,-0.5769382755077848,0.3930508607813851,-2.4884118077579895,-5.049496714083687,1.926605504587156,1.5374044490251653,1.691542288557214,0.008387854386847844,-0.07564296520423601,0.09461483876054562,0.7696007696007696,0.11972224439300821,0.7004436142890498,-0.12742911755336095,0.011829980733894074
69,-0.6269592476489028,-3.3258126514581763,1.1475137202727423,-0.6939281288723668,-0.5769382755077848,0.3930508607813851,-2.5209400666829307,-4.9080775309874385,1.8682235195996666,1.520226745684102,1.5671641791044775,-0.06710283509478275,-0.10926206085056311,-0.01576913979342427,0.7215007215007215,0.15164817623114374,0.5681375982566736,-0.08760751831793565,0.011594368320358454
